default,housing,loan,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_married,marital_single,education_secondary,education_tertiary,education_unknown,contact_telephone,contact_unknown,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,poutcome_other,poutcome_success,poutcome_unknown,age,balance,day,duration,campaign,pdays,previous
0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7725828148853345,1.1186442967405494,-0.5960264557452027,-0.1691938897666138,-0.5768294699140059,2.9890440835684733,2.0417337219678915
0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5834582565239843,-0.024144382996115262,0.010272618690955485,-0.3038984424799362,-0.5768294699140059,2.899143020528723,0.27012381402530866
0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0562696524273598,0.017725746008484842,-1.5661049748430558,-0.25001662139460723,0.3879674348145256,-0.4072182979332062,-0.3204128219555523
0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6860364438122186,-0.4727529080454021,-1.3235853450685926,-0.14610168073004423,-0.5768294699140059,-0.4072182979332062,-0.3204128219555523
0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.48889597734330914,-0.3707360064230828,-0.2322470110835078,0.2964989924708723,-0.5768294699140059,2.899143020528723,0.8606604500061695
0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2052091398012838,-0.423904424206702,-1.202325530181361,-0.4347542936871637,-0.255230501671162,-0.4072182979332062,-0.3204128219555523
0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.016084581439933576,-0.3993140309817781,-0.2322470110835078,-0.7965322352600868,-0.255230501671162,-0.4072182979332062,-0.3204128219555523
0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.2052091398012838,2.6422517688523866,0.49531187823988204,0.034787290056417314,-0.5768294699140059,-0.4072182979332062,-0.3204128219555523
0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17303997692141665,-0.38502501870243044,0.1315324335781871,-0.5810049509187709,-0.255230501671162,-0.4072182979332062,-0.3204128219555523
0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9617073732466848,-0.35312396803225893,1.5866502122249668,-0.6733737870650491,-0.5768294699140059,2.0101213971356366,0.27012381402530866
0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.11064686062060869,-0.40828620148276384,1.5866502122249668,-0.2885036364555565,-0.255230501671162,-0.4072182979332062,-0.3204128219555523
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4023496062701932,0.8807156271588537,1.3441305824505034,-0.09606856115081018,0.7095664030573694,-0.4072182979332062,-0.3204128219555523
0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.5290810483307355,-0.5461917851090261,0.859091322901577,-0.05373284458376599,-0.5768294699140059,-0.4072182979332062,-0.3204128219555523
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9617073732466848,-0.42888896337391624,-1.0810657152941292,-0.4463003982054485,-0.5768294699140059,1.1210997737425497,0.27012381402530866
0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.2997714189819589,-0.4727529080454021,0.25279224846541876,-0.6464328765223847,-0.255230501671162,-0.4072182979332062,-0.3204128219555523
0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.07847769774074154,-0.46743606626704015,0.3740520633526504,-0.4770900102542079,0.0663684665716818,-0.4072182979332062,-0.3204128219555523
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.26760225610209176,-0.43752883126375436,-0.4747666408579711,-0.5963997569431506,-0.255230501671162,-0.4072182979332062,-0.3204128219555523
0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.26760225610209176,-0.44184876520867344,-1.0810657152941292,-0.5348205328456318,-0.255230501671162,-0.4072182979332062,-0.3204128219555523
